#Question Ref.,Reporting Requirement,Definitions,Department
"1.21, 206a.1","Participation/Inclusion/Representation of women in terms of No. and percentage of Females at:
- Board of Directors
- Key Management Personnels","Mention the ratio of male and female member in the Board of Directors and Key Management Personnels

Key Management Personnel as defined under Sec 2(51) of the Companies Act 2013, in relation to a company, means— 
(i) the Chief Executive Officer or the managing director or the manager; 
(ii) the company secretary; 
(iii) the whole-time director; 
(iv) the Chief Financial Officer; and 
(v) such other officer as may be prescribe",Secretarial
1.22,"Turnover rate for permanent employees and workers (Separate details for Male and Female):
- For Current FY
- Previous FY","1. Under this field, the entity shall disclose turnover rates for the specified categories. 

2. The entity shall calculate the turnover rate for a financial year, for a particular category, based on the following formula: (No. of persons who have left the employment of the entity in the FY *100) / Average no. of persons employed in the category 

3. Average number of persons employed in a category shall be calculated as (Persons employed in the category at the beginning of FY + Persons employed in the category at the end of FY) / 2. Further, persons leaving the employment of the entity shall include those who leave the entity voluntarily or due to dismissal, termination, retirement or death in service.",Human Resource
1.23," Names of holding / subsidiary / associate companies / joint ventures:
- Name of the holding / subsidiary /associate companies / joint ventures
- Indicate whether holding/ Subsidiary/ Associate/ Joint Venture
- % of shares held by listed entity","This question gives insight into the entity’s corporate structure & the level of complexity of the group.
1. As defined under Sec 2(10) of the Companies Act 2013, ""associate company"", in relation to another company, means 
a company in which that other company has a significant influence, but which is not a subsidiary company of the 
company having such influence and includes a joint venturecompany.
Explanation—For the purpose of this clause—(a) the expression ""significant influence"" means control of at least twenty per cent of total voting power, or control of or participation in business decisions under an agreement;(b) the expression ""joint venture"" means a joint arrangement whereby the parties that have joint control of the arrangement have rights to the net assets of the 
arrangement;
2. As defined under Sec 2 (46) of the Companies Act 2013,holding company"", in relation to one or more other companies, means a company of which such companies are subsidiary companies;
Explanation—For the purposes of this clause, the expression ""company"" includes any body corporate.
3. As defined under Sec 2(87) of the Companies Act 2013, subsidiary company or subsidiary, in relation to any other 
company (that is to say the holding company), means a company in which the holding company—
(i) controls the composition of the Board of Directors; or (ii) exercises or controls more than one-half of the total voting 
power either at its own or together with one or more of its subsidiary companies:
Explanation—For the purposes of this clause, —
(a) a company shall be deemed to be a subsidiary company of the holding company even if the control referred to in sub_x0002_clause (i) or sub-clause (ii) is of another subsidiary company of the holding company;
(b) the composition of a company's Board of Directors shall be deemed to be controlled by another company if that other 
company by exercise of some power exercisable by it at its discretion can appoint or remove all or a majority of the 
directors;
(c) the expression ""company"" includes any body corporate;
(d) ""layer"" in relation to a holding company means its 
subsidiary or subsidiaries.
",Finance
1.24,"CSR Details:
(i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) 
(ii) Turnover (in Rs.) 
(iii) Net worth (in Rs.)","Every Company having (a) net worth of rupees five hundred crore or more, or (b) turnover of rupees one thousand crore or more or (c) a net profit of rupees five crore or more (net profit calculated in accordance with Section 198) during the immediately preceding financial year shall constitute a Corporate Social Responsibility Committee.",Finance
1.25,"Complaints/Grievances on any of the principles (Principles 1 to 9) under the National Guidelines on Responsible Business Conduct for Current & Previous FY from stakeholders (Communities; Investors (other than shareholders); Shareholders; Employee & Workers; Customers; Value Chain Partners; Others if any):
- Grievance Redressal Mechanism in Place (Yes/No) (If Yes, then provide web-link for grievance redress policy) 
- Number of complaints filed during the year
- Remarks (If Any)","Mention whether there is a greivance redressal mechanism  for details related to 9 Principles of BRSR

1. Stakeholders are individuals or groups concerned or interested with or impacted by the activities of the businesses and vice-versa, now or in the future. Typically, stakeholders of a business include, but are not limited to, its investors, shareholders, employees and workers (and their families), customers, communities, value chain members and other business partners, regulators, civil society actors, and media. 

2. Grievance Redressal Mechanism refers to a mechanism for any stakeholder individually or collectively to raise and resolve reasonable concerns affecting them without impeding access to other judicial or administrative remedies. The mechanism should be: Transparent and unbiased governance structures Accessible Based on dialogue and mediation 

3. An organization’s value chain encompasses the full range of an organization’s upstream and downstream activities that convert input into output by adding value. It includes entities with which the organization has a direct or indirect business relationship and which either (a) supply products or services that contribute to the organization’s own products or services, or (b) receive products or services from the organization",Secretarial
1.26,"Overview of the entity’s material responsible business conduct issues pertaining to environmental and social matters that present a risk or an opportunity to your business, rationale for identifying the same, approach to adapt or mitigate the risk along-with its financial implications, as per the following format:
- Material issue identified
- Indicate whether risk or opportunity (R/O)
- Rationale for identifying the risk / opportunity
- In case of risk, approach to adapt or mitigate
- Financial implications of the risk or opportunity(Indicate positive or negative implications)","Under this section, the entity shall disclose the material responsible business conduct and sustainability issues pertaining to environmental and social matters that present a risk or an opportunity to its business, along-with the following:

1.  Classify the risk / opportunity as environment or social and provide its description. For instance, risk arising from climate change can include impact on operations, worker health, demand for products or services etc. Climate change opportunities can include cost savings through resource efficiency, development of new products and services, access to new markets etc. 

2. Rationale for identifying the risk, which may include a description of the impact associated with the risk or opportunity. 

3. In case of identified risks, approach to mitigate or adapt to the risk. 

4. Indicate the positive and negative impact of such risk or opportunity on the financials of the company. The company shall make qualitative disclosures in this regard and should not include any forward looking quantitative information. However, in case of previous years, impact can be disclosed in quantitative terms. The entity may consider impact on parameters such as demand for products & services/ capital or operational costs/, investment opportunities etc.",Group Level
2.1-6,"Policies and processes put in place towards adopting the NGRBC Principles and Core Elements:
- Whether your entity’s policy/policies cover each principle and its core elements of the NGRBCs. (Yes/No)
- Has the policy been approved by the Board? (Yes/No)
- Web Link of the Policies, if available","The question attempts to provide transparency between the organization & its stakeholders regarding the entity’s policy commitment towards NGRBCs.
The entity ought to disclose in Yes/No or ✓/🗴 format with appropriate links to 
public content.
NGRBC principle are:
1. Integrity, Ethics, Tranparent and Accountable business
2. Sustainble and safe procurment / product
3. Well being of employee and those in value chain
4. Stakeholder interest
5. Human rights
6. Environment
7. Influencing Public and Regulatory policy
8. Inclusive growth and equitable development
9. Consumer and IT",Secretarial
2.1-6,Whether the entity has translated the NGRB policy into procedures.,"This question attempts to link policy commitments to their actual implementation.
The entity ought to disclose in Yes/No or ✓/🗴 format with appropriate links to 
public content",Secretarial
2.1-6,"Do the enlisted policies extend to your value chain partners?
1. Integrity, Ethics, Tranparent and Accountable business
2. Sustainable and safe procurement / product
3. Well being of employee and those in value chain
4. Stakeholder interest
5. Human rights
6. Environment
7. Influencing Public and Regulatory policy
8. Inclusive growth and equitable development
9. Consumer and IT","Overview / Objective: To help increase entity efficiency so the businesses can be in consonance with sustainability & responsibility goals.
The entity ought to disclose in Yes/No or ✓/🗴 format with appropriate links to 
public content.",Secretarial
2.1-6,"Name of the national and international codes/certifications/labels/ standards (e.g. Forest Stewardship Council, Fairtrade, Rainforest Alliance, Trustea) standards (e.g. SA 8000, OHSAS, ISO, BIS) adopted by your entity and mapped to each principle","Overview / Objective: To enhance the relative trustworthiness of the sustainability data published by the entity.
The entity shall disclose in Yes/No or ✓/🗴 format against each of the 9 principles 
with appropriate links to public content. Also, they can mention name of the 
national & international codes/certifications/labels/ standards voluntarily.",Secretarial
2.1-6 / 2.1,"Specific commitments, goals and targets set by the entity with defined timelines, if any.","1. Under this field, the entity may disclose if it has any specific commitment, goal or target against any of the principles. Such disclosures may include the following:  Baseline and context for goals and targets  Entities covered such as subsidiaries / associates / joint ventures / value chain partners  Expected result or outcome, in quantitative or qualitative terms  Expected timeline for achieving each goal and target  Whether goals and targets are mandatory (based on legislation) or voluntary. If they are mandatory, the organization should list the relevant legislation. 2. The entity shall state the performance achieved against each goal or target. Any change in goals with regard to timelines, partial achievement of a goal or delay in achievement should also be specifically indicated, and where possible, with reasons. 3. The entity need not strictly follow the tabular format for this disclosure. The issues for each principle can be covered in a running format.",Secretarial
2.1-6,"Performance of the entity against the specific commitments, goals and targets along-with reasons in case the same are not met.","Objective is to evaluate the entity’s Performance against its set Commitments. 
Comprehensive Details about the goals & targets set by the entity covering its subsidiaries / associates / joint ventures / value chain partners. The entity is not mandated to follow the tabular format. It can follow running format too.
The entity shall state the performance achieved against each goal or target. Any change in goals with regard to timelines, partial achievement of a goal or delay in achievement should also be specifically indicated, & where possible, with reasons",Secretarial
2.7,"Statement by director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements","It gives insight into entity contribution towards sustainable development including the key events, achievements, & failures associated with the business.The listed entity shall include a statement from the director who is responsible for preparation of the report, highlighting the relevance of sustainability to the organization. Such statement can include the following:
-The overall vision and strategy of the 
organization for the short-term, medium_x0002_term, and long-term, with respect to managing the significant environmental and 
social impacts that the organization causes, contributes to, or that are directly linked to its activities, products or services 
- Strategic priorities and key topics for the short and medium-term with respect to sustainability
-Broader trends influencing the sustainability priorities of the entity
-Key events, achievements, and failures during the reporting period
- Views on performance with respect to targets
- Outlook on the organization’s main challenges and targets 
- Any other items pertaining to the organization’s strategic approach
",Secretarial
2.8,Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies).,"Overview / Objective: It ensures accountability & increases the awareness & understanding of climate-related risks & opportunities within the entity which results in better risk management & more informed strategic planning
1. For the policies disclosed at Question 1 of Section B, the entity shall disclose the highest executive authority in the organization who is responsible for their implementation and highest authority responsible for oversight. Such authority could be a director of the board, committee of the board,senior management personnel or a committee of employees. 
2. In case a committee is the highest authority, then the composition of the committee shall be disclosed, including the following: name of individuals, designation and in case of director, DIN and category (Chair / ED / NED / ID).
3. In case an individual is the highest authority, the name, designation and in case of director, DIN and category (Chair / ED / NED / ID) shall be disclosed.
4. In case, different authorities are responsible for the implementation of different policies, the samemay be indicated.",Secretarial
2.9,"Does the entity have a specified Committee of the Board/ Director responsible for decision making on sustainability related issues? (Yes / No). If yes, provide details.","It ensures accountability & increases the awareness & understanding of climate-related risks & opportunities within the entity which results in better risk management & more informed strategic planning.
1. The entity shall indicate ‘Yes’ if it has a specified Committee of the Board or a director of the Board of the entity who is responsible for decision making on sustainability related issues. 
2. In case a Committee of the Board is responsible, its composition shall be disclosed, including the following: name of individual, designation and in case of director, DIN and category (Chair / ED / NED / ID). In case a director is responsible, DIN 
and category (Chair / ED / NED / ID) shall be disclosed.
3. In case the response to this question is the same as that to question 8, the entity need not repeat its response and can cross-refer to the same.",Secretarial
2.1,"Details of following review of NGRBCs by the company indicating whether review was undertaken by Director / Committee of the Board/ Any other Committee and frequency:
- Performance against above policies and follow up action
- Compliance with statutory requirements of relevance to the principles, and, rectification of any non-compliances","Overview / Objective: In order to be effective & transparent & to have better risk management & more informed strategic planning.
The entity shall disclose in Yes/No or ✓/🗴 format against each of the 9 principles with appropriate 
links to public content with cross referencing to Question 8 &9. If required, entity shall disclose in 
format requested by SEBI/MCA.",Secretarial
2.11,"Has the entity carried out independent assessment/ evaluation of the working of its policies by an external agency? (Yes/No). If yes, provide name of the agency.","In order to ensure the relative trustworthiness of the sustainability data published by the entity & to offer credibility of such disclosure.
The entity shall disclose in Yes/No or ✓/🗴 format against each of the 9 principles 
with appropriate links to public content & name of the agency responsible for 
conducting assessment/evaluation.",Secretarial
2.12,"If all Principles are not covered by a policy, reasons to be stated.
- The entity does not consider the Principles material to its business (Yes/No) 
- The entity is not at a stage where it is in a position to formulate and implement the policies on specified principles (Yes/No) 
- The entity does not have the financial or/human and technical resources available for the task (Yes/No) 
- It is planned to be done in the next financial year (Yes/No) 
- Any other reason","To give information on how the organization has determined its material topics and to explain why any principle omitted was not material (Was it postponed to be followed later? Was it because of lack of resources-financial/ manpower technical resources).
The entity shall disclose their reasons if they are not following any one of the 
above 9 principles of NGRBC.",Secretarial
3.1,"Percentage coverage by training and awareness programmes on any of the Principles during the financial year by directors, KMPs, Employees and Workers.

- Total number of training and awareness programmes held
- Topics / principles covered under the training and its impact
- % of persons in respective category covered by the awareness programmes","This gives insight into how the organization embeds its policy commitments for responsible business conduct, including the commitment to respect human rights, throughout its activities. It also ensures that everyone in the organization is aware about the policies & respects human rights.
How to measure?-Enter the total number of training & awareness programmes held for each of the given segments of stakeholders & the percentage of such persons covered by awareness programmes conducted on the Principles under NGRBC for each category of stakeholder in the current financial year.
How to disclose?-The entity shall disclose topics/policies/NGRBC's principles covered & its impact on their normal day to day business activities such as:Health & Safety, Environment & Biodiversity Conservation, POSH Training, Code of Conduct Awareness, etc.",Secretarial
3.2,"Details of fines / penalties /punishment/ award/ compounding fees/ settlement amount paid in proceedings (by the entity or by directors / KMPs) with regulators/ law enforcement agencies/ judicial institutions, in the financial year, in the following format: 
- NGRBC Principle
- Name of the regulatory/enforcement agencies / judicial information
- Amount (In INR)
- Brief of the Case
- Has an appeal been preferred","This gives insight into the ability of management to ensure that the organization conforms to certain performance parameters & to enable stakeholders to evaluate the efficacy & scope of enterprise risk management.
Under this field, the entity shall make disclosures on the basis of materiality as specified in Regulation 30 of SEBI (Listing Obligations and Disclosure Obligations) Regulations, 2015 and as disclosed on the entity’s website.",Legal
3.3, Details of the Appeal/ Revision preferred in cases where monetary or non-monetary action has been appealed (Case Name and Name of Regulatory / enformcement agency).,"This gives insight into the ability of management to ensure that the organization conforms to certain performance parameters & to enable stakeholders to evaluate the efficacy & scope of enterprise risk management.
The entity shall disclose information on basis of materiality as specified in Regulation 30 of SEBI 
LODR, 2015 & as disclosed on the entity’s website.",Legal
3.4,"Does the entity have an anti-corruption or anti-bribery policy? If yes, provide details in brief and if available, provide a web-link to the policy","It enables the stakeholders to know about the entity's compliance with the applicable laws relating to bribery & corruption & illuminates entity values & a commitment towards high standards of ethical conduct.
The disclosure on the anti-corruption or anti_x0002_bribery policy may include the following:
- Risk assessment procedures and internal controls
-Mechanism to deal with complaints on bribery / corruption
-Coverage of trainings on anti-corruption issues",Secretarial
3.5,Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption during current and previous FY.,"It enables the stakeholders to know about the entity's compliance with the applicable laws relating to bribery & corruption & illuminates entity values & a commitment towards high standards of ethical conduct.
Enter the number of complaints / cases of bribery/corruption/ registered in the current & previous financial year against the entity/employee(s) of the entity with law enforcement agencies or lodged with the Entity internally.
SES Note: The entity may also disclose corrective action taken, complaints closed, complaints pending & complaints acted upon",Secretarial
3.6,"Details of complaints with regard to conflict of interest for current and previous FY:
- Number of complaints received in relation to issues of Conflict of Interest of the Directors
- Number of complaints received in relation to issues of Conflict of Interest of the KMPs","It enables the stakeholders to know about the entity's compliance with the applicable laws relating to bribery & corruption & illuminates entity values & a commitment towards high standards of ethical conduct.
Enter the number of complaints w.r.t. conflict of interest whistle-blower complaints in the current & previous financial year against the Directors & KMPs of the entity with law enforcement agencies or lodged with the Entity internally",Secretarial
3.7,"Details of any corrective action taken or underway on issues related to fines / penalties / action taken by regulators/ law enforcement agencies/ judicial institutions, on cases of corruption and conflicts of interest.","It enables the stakeholders to know about the entity's compliance with the applicable laws relating to bribery & corruption & illuminates entity values & a commitment towards high standards of ethical conduct.
Elaborate on the corrective steps taken/underway & if they were/are in line with standard 
entity policies",Secretarial
3.8,Number of days of accounts payables ((Accounts payable *365) / Cost of goods/services procured),,Finance
3.9,"Open-ness of business.
Provide details of concentration of purchases and sales with trading houses, dealers, and related parties along-with loans and advances & investments, with related parties","A. Purchases from trading houses as % of total purchases:
Number of trading houses where purchases are made from top 10 trading houses as % of total purchases from trading houses.

B. Sales to dealers / distributors as % of total sales:
Number of dealers / distributors to whom sales are made to top 10 dealers / distributors as % of total sales to dealers / distributors

C. Share of RPTs (as respective %age) in - 
a. Purchases 
b. Sales 
c. Loans & advances 
d. Investments ",Finance
3.1,"Awareness programmes conducted for value chain partners on any of the Principles during the financial year:
- Total number of awareness programmes held
- Topics / principles covered under the training
- %age of value chain partners covered (by value of business done with such partners) under the awareness programmes","Mention awarness programmes conducted on ethics, transparent and accountable conduct.

An organization’s value chain encompasses the full range of an organization’s upstream and downstream activities that convert input into output by adding value. It includes entities with which the organization has a direct or indirect business relationship and which either (a) supply products or services that contribute to the organization’s own products or services, or (b) receive products or services from the organization",Secretarial
3.11,"Does the entity have processes in place to avoid/ manage conflict of interests involving members of the Board? (Yes/No) If Yes, provide details of the same.","1. Conflict of interest refers to a situation where an individual is confronted with choosing between the requirements of his or her function and his or her own private interests. 
2. The entity shall disclose whether there are processes to ensure that conflict of interests involving members of the Board/ KMPs are avoided or managed along-with details of such processes",Secretarial
4.1,"Percentage of R&D and capital expenditure (capex) investments in specific technologies to improve the environmental and social impacts of product and processes to total R&D and capex investments made by the entity, respectively in current and previous FY","Measuring expenditure on R&D on specific technologies to improve the environmental and social impacts: Casts light on major technological shifts & technological advantages, which also demonstrates how the entity has been focusing on mitigating its adverse environmental & social impact.
The entity must disclose relevant financial data of Capital expenditure & R&D in new technologies 
to improve the environmental & social impacts in current & previous FYs. The entity must disclose 
exactly how the new technology had a positive impact on environment & society. ",Finance
4.2,"a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
b. If yes, what percentage of inputs were sourced sustainably? ","By actively managing sustainable sourcing, companies act in their own interests, the interests of their stakeholders & the interests of society at large.
1. “Sustainable Sourcing” essentially refers the integration of social, ethical and environmental performance factors into 
the process of selecting suppliers.
2. Under this field, the entity shall indicate what proportion of its inputs (by quantity or value – please specify) are sourced 
from suppliers who are either covered by the company’s sustainable sourcing programmes and/or are certified to be 
compliant with social and environmental standards such as SA 8000, ISO 14001, OHSAS 18001 or relevant labels like 
Rainforest Alliance, Rugmark, RSPO etc",Secretarial
4.3,"Describe the processes in place to safely reclaim your products for reusing, recycling and disposing at the end of life, for (a) Plastics (including packaging) (b) E-waste (c) 
Hazardous waste and (d) other waste.","1. Reclaiming refers to collecting products and their packaging materials at the end of their useful lives, for reusing, or recycling or safe disposal. Reclaimed items can include products and their packaging materials that are collected by or on behalf of the organization, by a third-party contractor. 
2. Preparation for re-use means checking, cleaning, or repairing operations, by which products or components of products are prepared to be put to use for the same purpose for which they were conceived. 
3. Recycling refers to reprocessing of products or components of products, to make new materials. 4. Disposal refers to any operation which is not recovery. Further, safe disposal excludes uncontrolled waste disposal such as open burning and dumping.",Legal
4.4,"Whether Extended Producer Responsibility (EPR) is applicable to the entity’s activities (Yes / No). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility (EPR) plan submitted to Pollution Control Boards? If not, provide steps taken to address the same.","“Extended Producer Responsibility” means the responsibility of a producer for the environmentally sound management of the product until the end of its life. The Uniform Framework for Extended Producers Responsibility issued by the Ministry of Environment, Forest and Climate Change places responsibility on producers, importers and brand owners to establish a system for collecting back the plastic waste generated due to their products and submit a plan for such collection with the relevant Pollution Control Board(s) (details available at http://moef.gov.in/guideline-document-uniform-framework_x0002_for-extended-producers-responsibility-under-plastic-waste_x0002_management-rules-2016/ ).
The entity shall disclose whether it has EPR is applicable to them. Also it shall disclose how their waste collection plan is in line with EPR submitted to Pollution Control Boards & steps taken to address issues, if any.",Legal
4.5,"Has the entity conducted Life Cycle Perspective /Assessments (LCA) for any of its products (formanufacturing industry) or for its services (for service industry)? If yes, provide details in the following format?
- NIC Code
- Name of Product / Service
- % of total Turnover contributed
- Boundary for which the Life Cycle Perspective / Assessment was conducted 
- Whether conducted by independent external agency (Yes/No)
- Results communicated in public domain(Yes/No)If yes, provide the web-link.","1. Product Life Cycle refers to all the stages of a product from extraction or acquisition of raw materials through manufacturing and processing, distribution and transportation, use and reuse, recycling and disposal. In the case of services, it refers to all activities and processes from the design to delivery. 2. Life cycle assessment is an analytical procedure that involves assessment of the potential environment or social impacts of a product or service, throughout its life cycle. 3. Boundary of LCA refers to the scope for which the assessment was conducted. For example, in the case of products, the boundary of LCA could be the following:  Cradle-to-grave is the full Life Cycle Assessment from resource extraction ('cradle') to use phase and disposal phase ('grave').  Cradle-to-cradle is a specific kind of cradle-to-grave assessment, where the end-of-life disposal step for the product is a recycling process.  Cradle-to-gate is an assessment of a partial product life cycle from resource extraction (cradle) to the factory gate (i.e., before it is transported to the consumer).",Secretarial
4.6,"If there are any significant social or environmental concerns and/or risks arising from production or disposal of your products / services, as identified in the Life Cycle Perspective / Assessments (LCA) or through any other means, briefly describe the same along-with action taken to mitigate the same.
- Name of Product / Service
- Description of the risk / concern
- Action Taken","It helps the Entity in realising the consequence of the activities involved in the production of its products & services & their subsequent consumption which in turn can support the organization in identifying opportunities for waste prevention & for adopting circularity measures.
The entity shall disclose environmental & social risks associated with products or services, identified in the LCA or through other sources & steps/process in place to mitigate them.",Secretarial
4.7,Percentage (input material wise) of recycled or reused input material to total material (by value) used in production / service for current and previous FY.,"This can predict the possible overloading on current waste management facility capacities & provide decision support for designing strategies to approach resource sustainability.
How to measure?-Percentage of recycled input materials used =Total recycled input materials used/Total input materials usedx 100.
How to disclose?-The entity shall disclose % recycled/reused material to be used as raw/input material used under the ecycle/reuse activity w.r.t total raw material used.
The entity may use the total weight or the total volume of materials, for calculating this field.",IT
4.8,"Of the products and packaging reclaimed at end of life of products, amount (in metric tonnes) reused, recycled, and safely disposed, as per the following format for current and previous FY.","This can predict possible overloading on current waste management facility capacities & provide decision support for designing strategies to approach resource sustainability.The entity shall disclose products & packaging reclaimed at end of life under 4 categories: Plastics, E-waste, Hazardous waste & Other. ",Legal
4.9,Reclaimed products and their packaging materials (as percentage of products sold) for each product category.,The entity shall calculate the percentage of reclaimed products and their packaging materials for each product category using the following formula: Percentage of reclaimed products and their packaging materials = (Products and their packaging materials reclaimed within the reporting period) / (Products sold within the reporting period),Legal
5.1,"(a,b) Details (Number & %) of measures for the well-being of employees and workers (Separately for Male / Female and Permanent / Other Than Permanent Staff):
- Health Insurance
- Accident Insurance
- Maternity Benefits
- Paternity Benefits
- Day Care Facilities

c. Spending on measures towards well-being of employees and workers (including permanent and other than permanent) in the following format ","This disclosure gives insight into the organization’s approach towards employees & workers by understanding the kind & extent of benefits it offers. The quality of benefits offered has a key role/influence on an organization’s attrition rate. Policies like no gender bias for maternity & paternity leave can lead to the greater recruitment & retention of qualified employees. Offering health/accidental insurance & daycare facilities is a way to promote/ensure the mental well-being of the employee & their family.
How to measure?-% of employees / workers covered for various benefits = (number of employee or workers covered for various benefits) / total number of permanent employees or workers.
How to disclose?-In case the entity desires to disclose any benefits other than those specified in this field, additional columns may be added for such disclosures.",Human Resource
5.2,"Details of retirement benefits (PF; Gratuty; ESIC; etc.), for Current FY and Previous Financial Year.
- No. of employees covered as a % of total employees
- No. of workerscovered as a % of total workers 
- Deducted and deposited with the authority(Y/N/N.A.)","In the interest of employees: to provide security. Offering retirement benefits is a way to promote/ensure the mental well-being of the employee & their families as well as the organization’s willingness to have a long-term association with its employees & workers.
The entity shall disclose relevant data of % of employees & workers covered under various schemes such as PF, Gratuity, ESI, & any other employee Fund for current & previous FYs as per the BRSR format.",Human Resource
